Date,Time,Open,High,Low,Close,Volume
2024-07-16,08:30:00,380.1200,381.0000,368.2300,380.8780,1166
2024-07-16,08:15:00,379.6200,381.0000,379.0000,380.4500,368
2024-07-16,08:00:00,377.3700,381.0070,365.0000,379.4900,29916
2024-07-16,07:45:00,379.0700,379.8500,379.0700,379.8500,594
2024-07-16,07:30:00,378.7200,379.1300,378.5000,379.0600,563
2024-07-16,07:15:00,379.0600,379.0600,378.5000,378.6900,348
2024-07-16,07:00:00,378.6900,379.2300,378.4000,379.0900,122
2024-07-16,06:45:00,378.8900,378.8900,378.8900,378.8900,8
2024-07-16,06:00:00,378.0500,379.0000,378.0500,379.0000,13
2024-07-16,05:30:00,378.5100,378.5100,378.0000,378.0000,57
2024-07-16,05:15:00,378.5200,378.5200,378.5100,378.5100,2
2024-07-16,05:00:00,378.5000,378.5100,378.0200,378.0200,56
2024-07-16,04:45:00,378.4600,378.5000,378.4600,378.4900,45
2024-07-16,04:30:00,378.0200,378.0200,378.0200,378.0200,11
2024-07-16,04:15:00,378.0200,378.8800,378.0200,378.5000,124
2024-07-16,04:00:00,379.8600,379.9500,377.4700,377.9900,652
2024-07-15,19:45:00,378.5210,379.8900,378.5200,379.8900,384
2024-07-15,19:30:00,379.1100,379.8490,378.4500,378.5900,1323
2024-07-15,19:15:00,379.0200,379.1500,378.5900,379.1400,89
2024-07-15,19:00:00,378.9900,379.9750,378.9900,379.0000,425
2024-07-15,18:45:00,379.0000,379.1500,378.2400,379.0000,280
2024-07-15,18:30:00,378.5000,379.8900,378.4300,378.9900,331
2024-07-15,18:15:00,379.8900,379.8900,378.0000,378.4100,61
2024-07-15,18:00:00,379.0600,379.8900,377.6600,378.4000,1067
2024-07-15,17:45:00,378.2050,380.0000,377.6600,379.1000,853
2024-07-15,17:30:00,378.3200,378.5000,377.6600,378.0600,123
2024-07-15,17:15:00,378.0900,378.3900,377.6600,378.3900,150
2024-07-15,17:00:00,378.5000,378.5000,377.6600,378.2700,888
2024-07-15,16:45:00,377.7600,378.5000,377.3700,378.0000,10168
2024-07-15,16:30:00,378.1600,378.2000,377.3980,377.6600,560
2024-07-15,16:15:00,377.3700,378.5000,377.3600,377.7300,15242
2024-07-15,16:00:00,377.4600,380.9900,375.0000,377.4900,1326057
2024-07-15,15:45:00,377.6300,377.7800,375.6350,377.4600,269054
2024-07-15,15:30:00,379.0400,379.7050,377.4600,377.4600,85222
2024-07-15,15:15:00,378.4600,379.3450,378.3200,379.0050,82249
2024-07-15,15:00:00,377.9700,378.4600,377.5900,378.4450,56861
2024-07-15,14:45:00,377.4600,378.2800,377.3400,378.0590,46052
2024-07-15,14:30:00,377.1900,378.5600,377.1200,377.4500,56294
2024-07-15,14:15:00,376.7400,377.3500,376.3400,377.3500,37721
2024-07-15,14:00:00,376.7460,377.4320,376.4000,376.9600,43197
2024-07-15,13:45:00,377.1900,377.8800,376.4400,376.7850,54610
2024-07-15,13:30:00,377.5050,377.7000,376.4500,377.2150,46757
2024-07-15,13:15:00,376.6200,378.0700,376.4300,377.5050,48377
2024-07-15,13:00:00,377.4400,377.6940,376.2210,376.7750,46769
2024-07-15,12:45:00,377.5300,378.0900,377.2200,377.5000,38023
2024-07-15,12:30:00,375.7400,378.3100,375.7200,377.6450,67178
2024-07-15,12:15:00,376.7600,377.1910,375.3900,375.7300,95824
2024-07-15,12:00:00,379.0300,379.3100,376.6800,376.7850,73333
2024-07-15,11:45:00,380.3800,380.5350,378.2980,379.1450,99830
2024-07-15,11:30:00,380.8750,381.8530,380.1400,380.2500,72046
2024-07-15,11:15:00,382.8900,382.9290,380.7700,381.0640,97275
2024-07-15,11:00:00,381.7200,383.5700,381.5900,382.7300,125582
2024-07-15,10:45:00,381.3700,382.8200,380.6000,381.9100,119556
2024-07-15,10:30:00,379.7700,381.4100,379.7700,381.2500,101834
2024-07-15,10:15:00,378.9700,380.2700,378.2600,379.7800,102530
2024-07-15,10:00:00,378.0600,380.5500,377.1720,379.0200,200385
2024-07-15,09:45:00,374.8700,378.3800,374.1200,378.0250,179887
2024-07-15,09:30:00,371.6700,375.6800,364.2100,374.4450,489027
2024-07-15,09:15:00,370.5000,371.6600,370.0600,371.6600,4186
2024-07-15,09:00:00,370.7500,371.0000,370.4000,370.5000,678
2024-07-15,08:45:00,370.5800,371.0000,370.3000,370.4000,550
2024-07-15,08:30:00,370.9000,371.0000,370.3000,370.3300,1232
2024-07-15,08:15:00,370.3170,371.0000,370.3000,371.0000,755
2024-07-15,08:00:00,370.0000,374.5000,367.0000,370.3000,4834
2024-07-15,07:45:00,369.9000,371.0000,369.9000,370.6000,2631
2024-07-15,07:30:00,370.5000,370.5000,369.3000,369.8100,1165
2024-07-15,07:15:00,369.4900,370.5500,369.2500,370.5500,1569
2024-07-15,07:00:00,369.6400,369.8000,368.3200,369.4900,1007
2024-07-15,06:45:00,368.5000,369.6400,367.6100,369.6400,1144
2024-07-15,06:30:00,370.1100,370.1100,367.0000,368.0000,2620
2024-07-15,06:15:00,372.8500,372.8500,369.9000,370.0000,3942
2024-07-15,06:00:00,373.3000,373.4900,372.9600,373.1200,1061
2024-07-15,05:45:00,373.3000,373.3100,373.3000,373.3100,37
2024-07-15,05:30:00,373.5000,373.5000,373.2600,373.2800,80
2024-07-15,05:15:00,373.0000,373.8100,372.2000,373.6700,734
2024-07-15,05:00:00,373.0300,373.0300,373.0000,373.0000,57
2024-07-15,04:45:00,372.7800,373.8000,372.7800,373.6400,30
2024-07-15,04:30:00,373.0000,373.9300,373.0000,373.9300,32
2024-07-15,04:15:00,373.8000,373.8000,373.6500,373.6500,28
2024-07-15,04:00:00,372.9700,373.8000,371.7500,371.7500,1099
2024-07-12,19:45:00,371.3400,372.0000,371.3200,371.3200,116
2024-07-12,19:30:00,371.8800,371.8800,371.0540,371.0540,232
2024-07-12,19:15:00,371.2700,371.8580,371.2700,371.2900,85
2024-07-12,19:00:00,372.0000,372.0000,370.9800,371.0800,171
2024-07-12,18:45:00,371.0200,372.0000,371.0200,371.3300,244
2024-07-12,18:30:00,371.4000,371.4000,371.0200,371.0300,418
2024-07-12,18:15:00,371.0200,371.4000,371.0200,371.2400,78
2024-07-12,18:00:00,371.4900,371.4900,370.9800,371.0200,114
2024-07-12,17:45:00,371.1800,371.6480,371.0200,371.5510,235
2024-07-12,17:30:00,371.5200,371.5500,371.3200,371.3300,196
2024-07-12,17:15:00,371.3500,372.0000,371.3200,372.0000,2461
2024-07-12,17:00:00,371.1800,371.5900,371.1810,371.3270,105
2024-07-12,16:45:00,371.3300,371.5790,371.1700,371.5790,3935
2024-07-12,16:30:00,371.3300,371.9830,371.1700,371.3300,354
2024-07-12,16:15:00,371.3200,372.0000,370.9000,371.3200,244
2024-07-12,16:00:00,371.3200,372.0000,370.5100,372.0000,556164
2024-07-12,15:45:00,370.9900,371.6350,370.0600,371.3200,224719
2024-07-12,15:30:00,372.6100,372.6500,370.3300,370.6800,119671
2024-07-12,15:15:00,371.8800,372.7200,371.4450,372.6250,86070
2024-07-12,15:00:00,371.6300,371.8400,371.3700,371.8300,61319
2024-07-12,14:45:00,371.5850,371.9900,371.2100,371.8500,45707
2024-07-12,14:30:00,371.1500,371.6300,370.6600,371.4550,40549
2024-07-12,14:15:00,372.1000,372.5000,370.6700,371.1600,60296
2024-07-12,14:00:00,371.4400,372.1700,371.4300,372.0950,51164
2024-07-12,13:45:00,371.9900,372.4800,371.3900,371.6000,63478
2024-07-12,13:30:00,370.9270,372.1900,370.5100,372.1300,73542
2024-07-12,13:15:00,370.3000,370.9370,370.1700,370.7900,62421
2024-07-12,13:00:00,369.9850,370.6000,369.2800,370.4000,52008
2024-07-12,12:45:00,369.4600,370.0500,369.0000,369.9850,46199
2024-07-12,12:30:00,369.4400,369.9700,369.1500,369.5350,38371
2024-07-12,12:15:00,368.0800,369.5800,368.0800,369.4900,82987
2024-07-12,12:00:00,368.5500,369.4000,367.7600,368.0400,91389
2024-07-12,11:45:00,370.0000,370.4000,368.5000,368.5550,82347
2024-07-12,11:30:00,370.4400,370.6600,369.4800,369.9600,85281
2024-07-12,11:15:00,371.9250,371.9250,369.3000,370.5100,89577
2024-07-12,11:00:00,372.1700,372.9000,371.7700,371.9100,76973
2024-07-12,10:45:00,371.9050,373.0900,371.4800,372.1270,52495
2024-07-12,10:30:00,371.2050,372.6500,370.6800,372.0200,117043
2024-07-12,10:15:00,373.1610,373.3300,371.1400,371.3000,94275
2024-07-12,10:00:00,373.5000,374.4900,371.9100,373.1950,108259
2024-07-12,09:45:00,369.1400,373.8800,368.9400,373.5000,185545
2024-07-12,09:30:00,368.2000,370.5000,367.7550,369.2700,195619
2024-07-12,09:15:00,370.7000,370.7000,368.0600,368.3200,1611
2024-07-12,09:00:00,370.4000,371.0000,369.9100,370.5000,288
2024-07-12,08:45:00,369.9800,376.0350,369.1810,370.5000,978
2024-07-12,08:30:00,370.5000,371.3000,369.0000,370.0000,4096
2024-07-12,08:15:00,371.0000,371.5000,370.0000,370.0000,466
2024-07-12,08:00:00,370.5000,374.7100,367.6000,370.9200,2489
2024-07-12,07:45:00,370.8900,370.8900,370.5000,370.5000,70
2024-07-12,07:30:00,370.0500,370.9000,369.5600,370.7500,123
2024-07-12,07:15:00,370.3000,370.3000,370.0100,370.2000,237
2024-07-12,07:00:00,370.8000,370.8900,369.0200,369.0500,1079
2024-07-12,06:45:00,370.8700,370.8700,370.5000,370.5000,17
2024-07-12,06:30:00,370.8000,371.0000,370.8000,370.8900,80
2024-07-12,05:45:00,370.5000,370.5000,370.5000,370.5000,3
2024-07-12,05:30:00,370.3300,371.1800,370.3300,371.1500,36
2024-07-12,05:15:00,370.8200,371.3700,370.7900,370.7900,95
2024-07-12,05:00:00,370.7900,371.4400,370.7900,371.4400,103
2024-07-12,04:45:00,370.5200,370.5200,370.3000,370.5000,79
2024-07-12,04:30:00,370.7200,371.6700,370.1700,371.6700,21
2024-07-12,04:15:00,369.8000,370.7200,369.8000,370.7200,229
2024-07-12,04:00:00,370.5000,370.5000,368.8400,369.8400,482
2024-07-11,19:45:00,370.2200,371.3000,368.8500,368.8500,478
2024-07-11,19:30:00,370.0300,370.2000,369.7500,370.1500,327
2024-07-11,19:15:00,370.5500,372.0000,370.0100,370.1700,248
2024-07-11,19:00:00,369.9500,371.9470,369.3100,371.9470,841
2024-07-11,18:45:00,369.5400,370.0000,369.0500,369.1500,503
2024-07-11,18:30:00,369.7000,370.0000,368.8500,369.7000,830
2024-07-11,18:15:00,369.9000,370.0000,368.7800,369.5000,438
